Stock,Comment,Commented By,Timestamp
Chemplast Sanmar,Good  long  accumulation.  Keep  buying  in  SIP  in  falls.  It  may  run  up  above  1000  soon  and  it  will  further  move  up.,Arpaatma,2024-09-06 08:45:00
Chemplast Sanmar,Chemplast  is  very  Bullish  from  here...Dont  sell  a  single  share,niks2021,2024-09-04 10:11:00
Chemplast Sanmar,today  it  may  go  up  to  513  rs  for  intraday  high  closure  between  502-508rs........,indimoneymaker,2024-09-03 08:11:00
Chemplast Sanmar,SBI  funds  huge  qty  hold  in  Champlast  Sanmar  Ltd  due  to  government  of  India  chemicals  sector  world  market  share  target  upto  7%  very  aggressive  with  PLI  Scheme  also  in  chemical  sector  .,user3161,2024-09-01 11:36:00
Chemplast Sanmar,"Irrelevant  as  its  exceptional  loss.  At  normalized  profit,  its  around  38  PE",longterminvestor49,2024-09-01 08:44:00
Chemplast Sanmar,basin  recommended  chemplast  sanmar  limited  for  long  term.,user3161,2024-08-31 12:05:00
Chemplast Sanmar,tomorrow  in  the  opening  market  short  this  stock  and  cover  near  504rs...  10  to  15  points  sure  intraday  profit.,Sureshot2012,2024-08-30 20:26:00
Chemplast Sanmar,intraday  target  achieved.  sold  at  and  bought  at  514rs.  thank  you  chemplast.,Sureshot2012,2024-08-30 15:40:00
Chemplast Sanmar,sell  and  exit  .  reached  it  is  peak  price.  wait  for  400  or  below  in  next  6  months,Sureshot2012,2024-08-30 10:16:00
Chemplast Sanmar,Last  2  years  they  not  reach  IPO  Issue  price.,user3161,2024-08-29 20:47:00
Chemplast Sanmar,"ready  to  blast  from  here..  slowly  slowly  gaining  the   not  sell  a  single  share  ,  it  is  going  to  hit  new  high  in  upcoming   and  enjoy  the  upward  journey  with  chemplast",niks2021,2024-08-29 10:06:00
Chemplast Sanmar,fin  min  imposes  definitive  anti  dumping  duty  on  chlorinated  polyvinyl  chloride  from  china  and  south  korea.,castawayfree,2024-08-25 10:14:00
Chemplast Sanmar,"currently  trading  at  support  level,  if  sustain  490  range,  chemplast  sanmar  will  bounce  back  from  here  n  give  decent  return  hopefully.",Hexaware,2024-08-21 12:12:00
Chemplast Sanmar,Excellent  n  horrible  stuff,Shiva1976,2024-08-21 09:34:00
Chemplast Sanmar,CHEMPLAST    SANMAR  LIMITED    Management    everything    announced    but  company    degrowth  regularly    company    ipo  Rs  541  in  2017  till  date    everyone    losses  at  present.  Moreover    all    ipo  very  good  opportunity  in  all  investors    in  Indians    market    last  3  years.,user3161,2024-08-12 18:46:00
Chemplast Sanmar,excellent  no  1  bull  shit  share  hai  ye,Shiva1976,2024-08-12 14:45:00
Chemplast Sanmar,"buy  buy  it  will  fly,  results  are  good",sangameshwar123,2024-08-09 10:44:00
Chemplast Sanmar,Chho  operator  based  company.    Offloaded  stock  on  news  of  results.    Now  distribution  happened.    No  chance  for  it  to  ever  come  600.    Chor  company.,promoneymaker,2024-08-08 16:06:00
Chemplast Sanmar,Good  result  but  still  falling  any  fishy  .or  big  players  are   cross,Anil_88,2024-08-08 15:04:00
Chemplast Sanmar,Excellent  results  will  cross  630  levels  today,Shiva1976,2024-08-08 09:09:00
Chemplast Sanmar,Twinkle  100  where  r  bro  n  686,Shiva1976,2024-07-01 09:03:00
Chemplast Sanmar,CHEMPLAST  SANMAR:  CO  APPROVED  RAISING  OF  FUNDS  WORTH  UPTO  10B  RUPEES,kamal20,2024-06-25 08:51:00
Chemplast Sanmar,The  board  is  to  meet  on  June  24  to  consider  fundraising.  Kaynes  Technology  India:  The  company  incorporated  a  wholly  owned  subsidiary  named  Kaynes  Holding.,kamal20,2024-06-20 09:01:00
Chemplast Sanmar,is  it  leading  towards  all  time  high  ??,niks2021,2024-06-16 13:57:00
Chemplast Sanmar,"bakwas  company  with  bakwas  fundamentals,  dont  fall  prey  to  this.  I  sold  it  last  year  at  around  450,  it  was  hovering  around  350-450,  not  at  all  a  consistent  chemical  company.  There  are  many  better  fundamentally  sound  companies  than  this.",rishi30790,2024-06-14 16:21:00
Chemplast Sanmar,Operators  are  active  in  this  counter.  Do  your  analysis  before  investing,vfYOiIr7i1,2024-06-14 11:49:00
Chemplast Sanmar,"may  be  1000  to  2000rs  or  100  or  200rs  after  3  to  5  years...  no  one  can  predict  the  direction  in  the  long  term.  The  market  is  again  peak  now,  if  any  damage  to  India,  or  global,  one  can  see  huge  sell  off  without  any  recovery  in  the  medium  term.",Sureshot2012,2024-06-11 17:00:00
Chemplast Sanmar,3  to  5  years  Target  1500  to  1800,subratadatta,2024-06-11 11:01:00
Chemplast Sanmar,what  is  the  scope  of  investing  in  this  script  for  long  term  ?  and  what  is  the  3-5  year  target,niks2021,2024-06-10 23:09:00
Chemplast Sanmar,monday  maybe  uc  possibility  due  to  very  strong  back  government.,user3161,2024-06-02 19:52:00
Chemplast Sanmar,ramkumar  shankar  md  chemplast  sanmar  limited  very  confident  next  two  to  three  qtr.  pvc  and  other  materials  company  margin  increased  .,user3161,2024-05-31 11:50:00
Chemplast Sanmar,"is  a  major  manufacturer  of  pvc  resins.  custom  manufactured  chemicals  chemplast  sanmar  limited  is  a  leading  supplier  of  intermediates  for  global  agrochemical,  but  company  at  present  time  very  difficult  period  due  to  china  huge  damping  his  finished  product.  but  company  management  very  sure  all  hudle  handle  to  improve  the  company  top  and  bottom  lines  in  future.",user3161,2024-05-29 11:10:00
Chemplast Sanmar,CHEMPLAST  SANMAR  LIMITED  huge  losses  book  may  be  tomorrow  lowered  circuit  20%.,user3161,2024-05-20 19:36:00
Chemplast Sanmar,Monday  treading  holiday  but  Monday  CHEMPLAST  SANMAR  LIMITED  qtr.  report  ie  today  last  trezding  day  before  qtr.  report  .  May  be  opportunity  before  buying.,user3161,2024-05-18 12:09:00
Chemplast Sanmar,O  SAYS  CUSTOM  MANUFACTURED  CHEMICALS  DIVISION  OF  CO  SIGNS  LOI  TO  MANUFACTURE  AN  ADVANCED  INTERMEDIATE  FOR  NEW  PIPELINE  ACTIVE  INGREDIENT  LOI  COVERS  A  PERIOD  OF  5  YEARS  ||  COMMERCIAL  SUPPLIES  ARE  EXPECTED  TO  START  FROM  CY2025,kamal20,2024-05-17 10:31:00
Chemplast Sanmar,Public  holding  just  6.03%  promoter  54.99%  FII  10.83%  and  rest  DII  in  31/03/  2024.,user3161,2024-05-13 20:49:00
Chemplast Sanmar,it  will  never  cross  its  ipo   script...,nssns,2024-05-06 13:27:00
Chemplast Sanmar,Possible  before  qtr.  report  may  be  touched  Rs  542  or  above  CHEMPLAST  SANMAR  LIMITED  ipo  price  Rs  541  after  ipo  current  financial  year  very  good  expansion  success.  Fourthcoming  qtr  top  line  maybe  above  60  to  70%.,user3161,2024-05-06 11:11:00
Chemplast Sanmar,Very  soon  CHEMPLAST  SANMAR  LIMITED  may  be  touched  4  digit  due  to  special  CHEMICALS  business  turn  positively.,user3161,2024-05-01 13:49:00
Chemplast Sanmar,huge  capex  expenses  company  growth  strategy  for  long  term  success  in  future.,user3161,2024-04-26 20:21:00
Chemplast Sanmar,today  chemicals  stocks  very  active  upwards  movement.,user3161,2024-04-24 12:51:00
